"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/05/10,Baie-Comeau,20,To meet constituents,Hosting a meeting,M0269828,Provigo Baie-Comeau,4.89,"Gill, Marilène"
2021/05/10,Baie-Comeau,20,To meet constituents,Hosting a meeting,M0269828,Bonisoir,5.29,"Gill, Marilène"
2021/05/17,Port-Cartier-Ouest,70,To meet constituents,Hosting a meeting,M0270593,Tim Hortons,135.90,"Gill, Marilène"
2021/06/21,Ottawa,3,To plan Member's priorities and activities,Hosting a meeting,M0273205,UberEat,66.93,"Gill, Marilène"
2021/04/01,Saint-Augustin-de-Desmaures,0,To meet constituents,Hosting a meeting,M0270658,Alimentation Alexandre Fortin,8.98,"Godin, Joël"
2021/04/01,Lac-Beauport,4,To meet constituents,Hosting a meeting,M0270951,Érablière du Lac Beauport,42.30,"Godin, Joël"
2021/04/01,Saint-Augustin-de-Desmaures,0,To meet constituents,Hosting a meeting,M0270658,Costco Wholesale,29.79,"Godin, Joël"
2021/04/01,Lac-Beauport,4,To meet constituents,Hosting a meeting,M0270951,Julie Vachon Chocolats,51.00,"Godin, Joël"
2021/06/01,Levis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0271662,NORMANDIN À LÉVIS,59.33,"Gourde, Jacques"
2021/06/02,St-Nicolas,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0271713,ST-HUBERT ST-NICOLAS,71.16,"Gourde, Jacques"
2021/06/08,Levis,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0272295,RESTO PUB LE 2000,61.08,"Gourde, Jacques"
2021/06/09,Levis,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0272822,RESTO PUB LE 2000,32.00,"Gourde, Jacques"
2021/06/14,Levis,4,To plan Member's priorities and activities,Hosting a meeting,M0272822,METRO LAROCHE À LÉVIS,35.99,"Gourde, Jacques"
2021/06/15,Gatineau,2,To exchange with dignitaries,Hosting a meeting,M0272822,ST-HUBERT GATINEAU,87.34,"Gourde, Jacques"
2021/04/01,Hamilton,4,To plan Member's priorities and activities,Hosting a staff event,M0270801,La Luna ,67.04,"Green, Matthew"
2021/04/12,Hamilton,4,To attend staff events including training,Hosting a staff event,M0270801,NO Frills ,38.20,"Green, Matthew"
2021/04/16,Hamilton,3,To plan Member's priorities and activities,Hosting a staff event,M0270801,Green Bar,55.19,"Green, Matthew"
2021/04/22,Hamilton,4,To attend staff events including training,Hosting a staff event,M0270801,Shorty's Pizza ,36.50,"Green, Matthew"
2021/04/23,Hamilton,4,To plan Member's priorities and activities,Hosting a meeting,M0270801,Fortinos ,10.99,"Green, Matthew"
2021/04/26,Hamilton,4,To plan Member's priorities and activities,Hosting a staff event,M0270801,NO Frills ,23.47,"Green, Matthew"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0268715,Shoppers Drug Mart,95.95,"Hallan, Jasraj Singh"
2021/04/01,Lethbridge,0,To meet visitors of Member’s office,Hosting a meeting,M0268566,Costco,23.86,"Harder, Rachael"
2021/05/15,Lethbridge,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0270233,Amazon,14.09,"Harder, Rachael"
2021/04/01,Montréal,0,To meet visitors of Member’s office,Hosting a meeting,M0270692,IGA,34.36,"Housefather, Anthony"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0269410,ULTRAMAR,4.19,"Iacono, Angelo"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0268421,COSTCO,41.97,"Iacono, Angelo"
2021/04/01,Laval,0,To meet constituents,Hosting a meeting,M0270718,ULTRAMAR,4.19,"Iacono, Angelo"
2021/05/13,Laval,6,To plan Member's priorities and activities,Hosting a meeting,M0270718,YALLA TAOUK,52.00,"Iacono, Angelo"
2021/05/13,Laval,6,To plan Member's priorities and activities,Hosting a meeting,M0270718,LE CRO MAGNON,23.09,"Iacono, Angelo"
2021/05/31,Laval,3,To meet constituents,Hosting a meeting,M0271902,PÂTISSERIE ST-MARTIN,19.50,"Iacono, Angelo"
2021/06/08,Laval,6,To plan Member's priorities and activities,Hosting a meeting,M0272388,MÉTRO PLUS,10.99,"Iacono, Angelo"
2021/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0269470,Costco,38.99,"Jeneroux, Matt"
2021/06/01,Edmonton,1,To meet visitors of Member’s office,Hosting a meeting,M0271853,Culligan Water,5.00,"Jeneroux, Matt"
2021/04/07,Port Alberni,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0269231,Little Valley Restaurant,319.00,"Johns, Gord"
2021/04/01,Goose Bay,0,To meet constituents,Hosting a meeting,M0271014,Co-op,124.44,"Jones, Yvonne"
2021/04/29,Mary's Harbour,18,To meet constituents,Hosting a meeting,M0270119,Simm's Cash & Carry,138.26,"Jones, Yvonne"
2021/05/06,Goose Bay,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0270119,Jungle Jim's,148.66,"Jones, Yvonne"
2021/05/07,Goose Bay,6,To meet constituents,Hosting a meeting,M0270119,Mariner's Galley,144.63,"Jones, Yvonne"
2021/05/08,Goose Bay,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0270119,Pep's Diner,110.85,"Jones, Yvonne"
2021/05/11,Labrador City,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0271014,Two Seasons Restaurant,144.70,"Jones, Yvonne"
2021/05/13,Goose Bay,4,To meet constituents,Hosting a meeting,M0271014,Bentley's,76.24,"Jones, Yvonne"
2021/05/20,Hopedale,15,To meet constituents,Hosting a reception or open house,M0271014,Frank's,56.93,"Jones, Yvonne"
2021/05/28,Goose Bay,50,To meet constituents,Hosting a reception or open house,M0272829,Royal Canadian Legion,360.00,"Jones, Yvonne"
2021/06/03,Goose Bay,15,To meet constituents,Hosting a meeting,M0271014,Subway,100.50,"Jones, Yvonne"
2021/04/01,Richmond Hill,0,To meet visitors of Member’s office,Hosting a meeting,M0270481,Costco Wholesale,18.99,"Jowhari, Majid"
2021/04/01,Dominion,0,To meet visitors of Member’s office,Hosting a meeting,M0268163,Costco,36.79,"Kelloway, Mike"
2021/04/27,Camrose,30,To meet constituents,Hosting a meeting,M0272339,Safeway,31.74,"Kurek, Damien"
2021/05/12,Ottawa,5,To meet visitors of Member’s office,Hosting a staff event,M0270338,Independent,46.03,"Kurek, Damien"
2021/03/10,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0271580,Fauna,186.35,"Kusie, Stephanie"
2021/03/12,Ottawa,3,To plan Member's priorities and activities,Hosting a meeting,M0271580,The Royal Oak,104.44,"Kusie, Stephanie"
2021/04/01,Orléans,0,To meet visitors of Member’s office,Hosting a meeting,M0269405,Costco,39.99,"Lalonde, Marie-France"
2021/04/01,Orléans,0,To meet visitors of Member’s office,Hosting a meeting,M0272441,Costco Wholesale ,36.99,"Lalonde, Marie-France"
2021/04/01,Granby,0,To meet visitors of Member’s office,Hosting a meeting,M0268935,Association québécoise pour l’avancement des Nations Unies,81.00,"Larouche, Andréanne"
2021/05/14,Saint-Léonard,5,To meet visitors of Member’s office,Hosting a meeting,M0270401,lafrenaie,35.50,"Lattanzio, Patricia"
2021/04/01,Moncton,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0267250,Oriens,152.00,"LeBlanc, Dominic"
2021/04/01,Shediac,0,To meet visitors of Member’s office,Hosting a meeting,M0269384,Costco,38.99,"LeBlanc, Dominic"
2021/04/01,Shediac,0,To meet visitors of Member’s office,Hosting a meeting,M0271857,Costco,38.99,"LeBlanc, Dominic"
