"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/04/07,Fredericton,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0267250,Luna Pizza,47.90,"LeBlanc, Dominic"
2021/04/07,Oromocto,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0267250,A&W Oromocto,41.22,"LeBlanc, Dominic"
2021/04/20,Moncton,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0269384,Calactus,134.07,"LeBlanc, Dominic"
2021/04/23,Bouctouche,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0269384,Restaurant La Sagouine,17.75,"LeBlanc, Dominic"
2021/04/30,Moncton,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0269384,Pomodori Moncton,122.10,"LeBlanc, Dominic"
2021/05/07,Shédiac,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,Le Bistro La Gare,78.00,"LeBlanc, Dominic"
2021/05/14,Moncton (City / Cité),4,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,A&W,56.70,"LeBlanc, Dominic"
2021/05/14,Moncton (City / Cité),3,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,Moxie's Classic Grill,243.75,"LeBlanc, Dominic"
2021/05/16,Moncton (City / Cité),2,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,The Keg,236.78,"LeBlanc, Dominic"
2021/05/19,Shédiac,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,Le Griffon et le Moque Tortue,152.88,"LeBlanc, Dominic"
2021/05/29,Shédiac,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0271892,Restaurant Le Petit Pari,357.93,"LeBlanc, Dominic"
2021/04/24,Beauceville,1,To meet constituents,Meal at a community activity or event,M0269056,Club Rotary de Beauceville,250.00,"Lehoux, Richard"
2021/05/14,Sainte-Marie,3,To meet constituents,Meal at a community activity or event,M0270279,Fondation Le Crépuscule/L'Infusion restaurant,55.00,"Lehoux, Richard"
2021/05/14,Sainte-Marie,3,To meet constituents,Meal at a community activity or event,M0270278,Fondation Le Crépuscule/Roy de Coeur traiteur,55.00,"Lehoux, Richard"
2021/05/14,Sainte-Marie,3,To meet constituents,Meal at a community activity or event,M0270277,Fondation Le Crépuscule/Labrie traiteur,55.00,"Lehoux, Richard"
2021/05/14,Sainte-Marie,3,To meet constituents,Meal at a community activity or event,M0270231,Fondation Le Crépuscule/Les Pères Nature,55.00,"Lehoux, Richard"
2021/05/29,Saint-Georges,2,To meet constituents,"Meal at a gala, reception or ceremony",M0272643,"CHAMBRE DE COMMERCE SAINT-GEORGES, GA-17882",250.00,"Lehoux, Richard"
2021/04/01,Rouyn-Noranda,0,To meet visitors of Member’s office,Hosting a meeting,M0270390,Épicerie Gendron,14.29,"Lemire, Sébastien"
2021/04/23,Essex,5,To attend staff events including training,Hosting a staff event,M0270542,Michigan Diner,46.99,"Lewis, Chris"
2021/04/19,Saint John,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0273483,Pizza Delight,47.43,"Long, Wayne"
2021/04/22,Guelph,0,To celebrate a significant event,Meal at a community activity or event,M0269328,Time to Give Community Breakfast ,45.00,"Longfield, Lloyd"
2021/04/01,Kitchener,50,To celebrate a significant event,Meal at a community activity or event,M0267622,Oma Fresh Foods,74.19,"Louis, Tim"
2021/05/15,Gatineau,1,To meet constituents,Meal at a community activity or event,M0273013,Fondation Mathieu-Froment-Savoie,225.00,"MacKinnon, Steven"
2021/05/29,Gatineau,1,To meet constituents,Meal at a community activity or event,M0271489,Carrefour de la Miséricorde,180.00,"MacKinnon, Steven"
2021/04/01,Brandon,0,To meet visitors of Member’s office,Hosting a meeting,M0269989,Real Canadian Superstore,34.01,"Maguire, Larry"
2021/04/01,Brandon,0,To meet visitors of Member’s office,Hosting a meeting,M0271821,Costco Wholesale,74.47,"Maguire, Larry"
2021/04/01,Brandon,0,To meet visitors of Member’s office,Hosting a meeting,M0268181,Walmart,34.00,"Maguire, Larry"
2021/04/01,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Restaurant Le Stade,47.85,"Martel, Richard"
2021/04/09,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Rest. Normandin,30.05,"Martel, Richard"
2021/04/14,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Rest. Normandin,49.37,"Martel, Richard"
2021/04/15,Chicoutimi,6,To meet constituents,Hosting a meeting,M0269359,St-Hubert,114.05,"Martel, Richard"
2021/04/15,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Bistro Café Summum,59.14,"Martel, Richard"
2021/04/16,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Bistrot du Fjord,28.68,"Martel, Richard"
2021/04/19,Chicoutimi,1,To meet constituents,Hosting a meeting,M0269359,St-Hubert,27.70,"Martel, Richard"
2021/04/20,Chicoutimi,1,To meet constituents,Hosting a meeting,M0269359,Café Mont-Royal,11.45,"Martel, Richard"
2021/04/21,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269359,Bistrot du Fjord,27.88,"Martel, Richard"
2021/04/23,Chicoutimi,4,To meet constituents,Hosting a meeting,M0269396,Restaurant Lucerne,83.34,"Martel, Richard"
2021/04/28,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269396,Entrecôte Chicoutimi,45.56,"Martel, Richard"
2021/04/29,Chicoutimi,2,To meet constituents,Hosting a meeting,M0269396,La Belle et La Boeuf,47.31,"Martel, Richard"
2021/04/30,Chicoutimi,1,To meet constituents,Hosting a meeting,M0269396,Bistro Café Summum,63.97,"Martel, Richard"
2021/05/14,Chicoutimi,1,To meet constituents,Hosting a meeting,M0270710,Restaurant Le Stade,52.08,"Martel, Richard"
2021/05/18,Chicoutimi,1,To meet constituents,Hosting a meeting,M0270710,Chez Annie Resto St-Paul,34.68,"Martel, Richard"
2021/05/20,Chicoutimi,2,To meet constituents,Hosting a meeting,M0271887,Café Mont-Royal,27.90,"Martel, Richard"
2021/06/26,Chicoutimi,2,To meet constituents,Hosting a meeting,M0271887,Bistrot du Fjord,25.00,"Martel, Richard"
2021/05/05,London,22,To celebrate a significant event,Hosting a town hall or community event,M0271629,The Shish Shawarma & Grill,550.00,"Mathyssen, Lindsay"
2021/04/30,Edmonton,75,To meet constituents,Hosting a town hall or community event,M0268626,The Art of Cake,225.00,"McCauley, Kelly"
2021/06/10,Edmonton,50,To meet constituents,Hosting a town hall or community event,M0272538,Jacek Chocolate Couture ,32.90,"McCauley, Kelly"
2021/01/30,Corner Brook,6,To exchange with dignitaries,Hosting a meeting,M0269060,Hew & Draw Hotel,43.34,"McDonald, Ken"
2021/04/30,Conception Bay South,6,To plan Member's priorities and activities,Hosting a staff event,M0269061,The Hangout,125.39,"McDonald, Ken"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0269962,Circle K,4.90,"McLean, Greg"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0271793,Amazon.ca,125.81,"McLean, Greg"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0269962,Amazon Canada,39.74,"McLean, Greg"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0271793,Circle K,10.10,"McLean, Greg"
2021/04/22,Calgary,2,To plan Member's priorities and activities,Hosting a staff event,M0269962,Urban Fare,18.93,"McLean, Greg"
2021/04/01,Yellowknife,0,To meet visitors of Member’s office,Hosting a meeting,M0272973,Staples #317 Yellowknife,55.34,"McLeod, Michael"
2021/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0273227,Ace ,50.00,"McPherson, Heather"
2021/05/21,Amqui,5,To celebrate a significant event,Hosting a staff event,M0271851,Maxi ,24.33,"Michaud, Kristina"
2021/05/21,Amqui,5,To celebrate a significant event,Hosting a staff event,M0271851,AU BEC POINTU,82.00,"Michaud, Kristina"
2021/04/01,Hampton,0,To meet visitors of Member’s office,Hosting a meeting,M0272206,Hampton Pharmasave,1.90,"Moore, Rob"
2021/06/18,Cranbrook,100,To meet constituents,Hosting a reception or open house,M0273167,Safeway,119.44,"Morrison, Rob"
2021/06/18,Cranbrook,100,To meet constituents,Hosting a reception or open house,M0273167,Save on Foods,56.85,"Morrison, Rob"
2021/06/18,Cranbrook,100,To meet constituents,Hosting a reception or open house,M0273167,M&M,256.85,"Morrison, Rob"
2021/06/18,Cranbrook,100,To meet constituents,Hosting a reception or open house,M0273167,Sandor Rental Equipment,66.87,"Morrison, Rob"
2021/02/05,Vancouver,2,To celebrate a significant event,Hosting a meeting,M0268923,Beehive Restaurant,35.00,"Murray, Joyce"
2021/04/01,Stratford,0,To meet visitors of Member’s office,Hosting a meeting,M0269792,Foodland,37.98,"Nater, John"
2021/04/01,Stratford,0,To meet visitors of Member’s office,Hosting a meeting,M0269792,7-Eleven,16.86,"Nater, John"
2021/04/01,Saint-Jean-Sur-Richelieu,0,To meet visitors of Member’s office,Hosting a meeting,M0272243,Jean Coutu,16.18,"Normandin, Christine"
2021/04/19,Saint-Jean-sur-Richelieu,4,To plan Member's priorities and activities,Hosting a meeting,M0269264,Benny&Co,73.43,"Normandin, Christine"
2021/04/23,Saint-Jean-sur-Richelieu,1,To meet constituents,Meal at a community activity or event,M0269264,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,90.00,"Normandin, Christine"
2021/05/28,Saint-Jean-sur-Richelieu,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0272243,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,91.00,"Normandin, Christine"
2021/06/03,Saint-Jean-sur-Richelieu,1,To meet constituents,"Meal at a gala, reception or ceremony",M0269264,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,161.00,"Normandin, Christine"
2021/04/01,St. John's,0,To meet visitors of Member’s office,Hosting a meeting,M0273038,Dominion,51.76,"O'Regan, Seamus"
2021/05/27,St.John's,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0272079,Restaurant Terre,79.26,"O'Regan, Seamus"
2020/11/11,Port Perry,4,To meet constituents,Hosting a meeting,M0269316,The Piano Cafe and Catering ,-3.10,"O'Toole, Erin"
2021/04/01,Swift Current,0,To meet visitors of Member’s office,Hosting a meeting,M0271412,Walmart,36.13,"Patzer, Jeremy"
2021/04/28,Ottawa,100,To meet constituents,Hosting a meeting,M0270099,Amazon.ca,209.70,"Paul-Hus, Pierre"
2021/05/05,Charlesbourg,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0269519,Rôtisserie St-Hubert,30.47,"Paul-Hus, Pierre"
2021/05/21,Charlesbourg,1,To celebrate a significant event,Meal at a community activity or event,M0268917,Fondation Signes D'Espoir,140.00,"Paul-Hus, Pierre"
2020/04/01,Repentigny,0,To meet visitors of Member’s office,Hosting a meeting,M0273231,Esso Librex ,1.95,"Pauzé, Monique"
2021/04/15,Louiseville,0,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0268974,UPA Montérégie,60.89,"Perron, Yves"
2021/04/09,Moncton,15,To celebrate a significant event,Hosting a reception or open house,M0266355,SOBEYS,54.23,"Petitpas Taylor, Ginette"
2021/04/09,Moncton,15,To celebrate a significant event,Hosting a reception or open house,M0268812,TIM HORTONS,37.98,"Petitpas Taylor, Ginette"
2021/04/01,Victoriaville,1,To plan Member's priorities and activities,Hosting a meeting,M0266270,Café Farniente,38.74,"Rayes, Alain"
2021/04/10,Victoriaville,1,To meet constituents,Hosting a meeting,M0268685,Ben et Florentine,47.55,"Rayes, Alain"
2021/04/21,Victoriaville,1,To meet constituents,Hosting a meeting,M0268685,Max Poutine,28.44,"Rayes, Alain"
2021/04/24,Saint-Georges-de-Windsor,0,To meet constituents,Meal at a community activity or event,M0269999,Chevaliers de Colomb Conseil 9894,120.00,"Rayes, Alain"
2021/06/01,Victoriaville,1,To meet constituents,Hosting a meeting,M0272304,La Pomme Verte,39.43,"Rayes, Alain"
2021/06/03,Windsor,1,To meet constituents,Meal at a community activity or event,M0272308,Fondation CSSS Val-St-François,200.00,"Rayes, Alain"
2021/05/19,Saskatoon,20,To plan Member's priorities and activities,Hosting a staff event,M0271013,Walmart,50.20,"Redekopp, Brad"
2021/06/08,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0272210,Subway,17.58,"Redekopp, Brad"
2021/06/08,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0272210,Walmart,30.32,"Redekopp, Brad"
2020/09/23,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0268076,Uber Eats,138.28,"Rempel Garner, Michelle"
2020/10/09,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0268060,Uber Eats,96.05,"Rempel Garner, Michelle"
2021/01/26,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0268072,Uber Eats,107.29,"Rempel Garner, Michelle"
2021/02/24,Calgary,4,To plan Member's priorities and activities,Hosting a staff event,M0268068,Uber Eats,66.47,"Rempel Garner, Michelle"
2021/03/11,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0268067,Uber Eats,56.06,"Rempel Garner, Michelle"
2021/03/31,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0268065,Uber Eats,74.48,"Rempel Garner, Michelle"
2021/05/13,Laval (Ville),2,To plan Member's priorities and activities,Hosting a meeting,M0270416,Benny and CO,56.28,"Robillard, Yves"
2021/06/08,Laval (Ville),2,To plan Member's priorities and activities,Hosting a meeting,M0272588,bistro bar rossignols,64.97,"Robillard, Yves"
2021/06/15,Laval (Ville),5,To plan Member's priorities and activities,Hosting a meeting,M0273011,les menus plaisirs,319.73,"Robillard, Yves"
2021/04/01,Greenfield Park,0,To meet visitors of Member’s office,Hosting a meeting,M0270040,Metro Plus Bellemare,55.95,"Romanado, Sherry"
2021/04/01,Greenfield Park,0,To meet visitors of Member’s office,Hosting a meeting,M0268114,Metro Plus Bellemare,35.22,"Romanado, Sherry"
2021/04/01,Greenfield Park,0,To meet visitors of Member’s office,Hosting a meeting,M0271072,Metro Plus Bellemare,49.47,"Romanado, Sherry"
2021/04/01,Greenfield Park,0,To meet visitors of Member’s office,Hosting a meeting,M0268114,Metro Plus Bellmare,4.99,"Romanado, Sherry"
2021/04/01,Wallaceburg,0,To meet visitors of Member’s office,Hosting a meeting,M0269925,No Frills,17.97,"Rood, Lianne"
2021/04/01,Wallaceburg,0,To meet visitors of Member’s office,Hosting a meeting,M0271623,Walmart,25.00,"Rood, Lianne"
2021/04/06,Melbourne,3,To plan Member's priorities and activities,Hosting a meeting,M0268040,PortHole Restaurant,27.75,"Rood, Lianne"
2021/04/26,Vancouver,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0268395,Breka Bakery & Cafe,90.00,"Sajjan, Harjit S."
2021/04/26,Vancouver,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0268395,Real Canadian Superstore,78.18,"Sajjan, Harjit S."
2021/04/26,Vancouver,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0268395,Real Canadian Suprestore,45.19,"Sajjan, Harjit S."
2021/04/28,Vancouver,7,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0268392,London Drugs,11.97,"Sajjan, Harjit S."
2021/04/28,Vancouver,7,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0268392,Breka Bakery & Cafe,18.74,"Sajjan, Harjit S."
2021/06/05,Vancouver,25,To meet constituents,Hosting a town hall or community event,M0272912,Krispy Kreme,148.75,"Sajjan, Harjit S."
2021/06/11,Vancouver,70,To meet constituents,Hosting a town hall or community event,M0272912,Krispy Kreme,416.50,"Sajjan, Harjit S."
2021/07/01,Vancouver,150,To meet constituents,Hosting a town hall or community event,M0272912,Rain or Shine Homemade Ice Cream Ltd,743.50,"Sajjan, Harjit S."
2021/03/26,Brampton,100,To exchange with dignitaries,Hosting a town hall or community event,M0271126,KIZA MUSIC AND ENTERTAINMENT MANAGEMENT INC ,1650.00,"Sangha, Ramesh"
2020/04/01,Surrey,0,To meet visitors of Member’s office,Hosting a meeting,M0270308,London Drugs,7.32,"Sarai, Randeep"
2021/04/07,Surrey,6,To attend staff events including training,Hosting a staff event,M0267109,Milestones Restaurant ,125.50,"Sarai, Randeep"
2021/05/19,Regina,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0270874,Subway,14.06,"Scheer, Andrew"
2021/05/19,Regina,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0270874,Sudway,24.65,"Scheer, Andrew"
2021/05/17,Vaudreuil-Dorion,92,To meet constituents,Hosting a meeting,M0270635,Costco,100.53,"Schiefke, Peter"
2021/05/17,Vaudreuil-Dorion,92,To meet constituents,Hosting a meeting,M0270635,Subway,599.02,"Schiefke, Peter"
2021/04/16,Ottawa,5,To meet visitors of Member’s office,Hosting a meeting,M0269687,REXALL,25.99,"Seeback, Kyle"
2021/04/09,Châteauguay,5,To discuss constituency issues with stakeholders,Hosting a staff event,M0268082,S.A.B. Au coeur du jardin,136.28,"Shanahan, Brenda"
2021/04/01,Brooks,0,To meet visitors of Member’s office,Hosting a meeting,M0272998,Walmart,19.87,"Shields, Martin"
2021/04/30,Jonquière,2,To plan Member's priorities and activities,Hosting a meeting,M0267878,Bistro au carré,52.89,"Simard, Mario"
2021/05/14,Jonquière,2,To plan Member's priorities and activities,Hosting a meeting,M0271714,Mia Pasta Jonquière,27.95,"Simard, Mario"
2021/05/28,Jonquière,3,To plan Member's priorities and activities,Hosting a meeting,M0271714,Bistro au Carré inc.,72.57,"Simard, Mario"
2021/06/01,Jonquière,4,To plan Member's priorities and activities,Hosting a meeting,M0271718,Canadian Tire Jonquière,27.98,"Simard, Mario"
2021/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0271259,Sobeys,5.90,"Simms, Scott"
2021/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0267767,Costco,8.49,"Simms, Scott"
2021/04/01,Grand Falls-Windsor,0,To meet visitors of Member’s office,Hosting a meeting,M0267767,Sobeys,2.95,"Simms, Scott"
2021/04/15,Gander,6,To meet constituents,Hosting a meeting,M0268193,Rosie's Restaurant,80.91,"Simms, Scott"
